Fitness,Generation
3.52E-14,0
3.52E-14,1
3.52E-14,2
3.53E-14,3
3.53E-14,4
3.53E-14,5
3.53E-14,6
3.53E-14,7
8.11E-14,8
9.46E-14,9
9.46E-14,10
9.46E-14,11
1.32E-13,12
1.75E-13,13
2.63E-13,14
3.23E-13,15
6.15E-13,16
6.15E-13,17
6.90E-13,18
6.90E-13,19
7.25E-13,20
7.25E-13,21
7.25E-13,22
7.25E-13,23
7.25E-13,24
7.25E-13,25
7.25E-13,26
7.25E-13,27
7.25E-13,28
7.25E-13,29
7.25E-13,30
7.25E-13,31
7.25E-13,32
7.25E-13,33
7.25E-13,34
7.25E-13,35
7.25E-13,36
7.25E-13,37
7.61E-13,38
7.61E-13,39
7.61E-13,40
8.58E-13,41
8.58E-13,42
8.58E-13,43
8.58E-13,44
8.58E-13,45
8.58E-13,46
8.58E-13,47
8.58E-13,48
8.58E-13,49
8.58E-13,50
