MSE,Generation
2.36E+13,0
2.36E+13,1
2.36E+13,2
1.35E+13,3
6.76E+12,4
5.89E+12,5
3.76E+12,6
2.43E+12,7
1.35E+12,8
1.15E+12,9
1.15E+12,10
1.15E+12,11
1.15E+12,12
1.15E+12,13
1.15E+12,14
1.15E+12,15
1.15E+12,16
6.63E+11,17
6.63E+11,18
6.63E+11,19
6.63E+11,20
6.63E+11,21
6.63E+11,22
6.63E+11,23
6.63E+11,24
6.63E+11,25
6.63E+11,26
6.63E+11,27
6.63E+11,28
6.63E+11,29
6.63E+11,30
6.63E+11,31
6.63E+11,32
6.63E+11,33
6.63E+11,34
6.63E+11,35
6.63E+11,36
6.63E+11,37
6.49E+11,38
6.49E+11,39
6.49E+11,40
6.49E+11,41
6.49E+11,42
6.49E+11,43
6.49E+11,44
6.49E+11,45
6.49E+11,46
6.49E+11,47
6.49E+11,48
6.49E+11,49
6.49E+11,50
